epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.19515,1.46844,4.36733,1.11969,0.00973,0.28125,0.14911,0.08685,0.94085,3.96186,0.87955,0,0,0
2,2.79197,1.43143,4.15901,1.16026,0.00974,0.28125,0.15125,0.08634,0.94428,3.96455,0.88263,6.99863e-06,6.99863e-06,6.99863e-06
3,3.25616,1.72087,4.1893,1.4249,0.00917,0.28125,0.15534,0.09605,0.93741,3.96967,0.883,1.37145e-05,1.37145e-05,1.37145e-05
4,3.55661,1.74848,4.25664,1.38498,0.00881,0.28125,0.14768,0.09536,0.93668,3.96505,0.88283,2.01477e-05,2.01477e-05,2.01477e-05
5,3.83292,1.62605,4.15119,1.24857,0.00881,0.28125,0.16815,0.09842,0.94371,3.96346,0.88239,2.6298e-05,2.6298e-05,2.6298e-05
6,4.08444,1.80933,4.11777,1.29705,0.00816,0.28125,0.16795,0.09829,0.94263,3.96238,0.88498,3.21657e-05,3.21657e-05,3.21657e-05
7,4.32655,1.41709,4.17008,1.10911,0.00811,0.28125,0.165,0.09914,0.9419,3.96168,0.88489,3.77506e-05,3.77506e-05,3.77506e-05
8,4.59534,1.66455,4.32219,1.2396,0.00766,0.28125,0.1672,0.10044,0.93359,3.96801,0.88572,4.30528e-05,4.30528e-05,4.30528e-05
9,4.95378,1.58856,4.19738,1.23683,0.00757,0.28125,0.20245,0.10313,0.9238,3.96951,0.88293,4.80722e-05,4.80722e-05,4.80722e-05
10,5.30691,1.37258,4.12735,1.06791,0.00774,0.28125,0.16987,0.11575,0.94613,3.95353,0.88772,5.28089e-05,5.28089e-05,5.28089e-05
11,5.6901,1.52232,4.13271,1.11642,0.00998,0.34375,0.1627,0.11562,0.9519,3.93575,0.88777,5.72628e-05,5.72628e-05,5.72628e-05
12,6.05323,1.41763,4.06282,1.12416,0.01947,0.5,0.17177,0.1202,0.97255,3.90586,0.88992,6.1434e-05,6.1434e-05,6.1434e-05
13,6.42011,1.38188,3.93951,1.12795,0.0217,0.54167,0.17014,0.12834,0.97882,3.89695,0.88619,6.53224e-05,6.53224e-05,6.53224e-05
14,6.80561,1.65913,3.97539,1.27498,0.02189,0.54167,0.16706,0.12631,0.98125,3.8979,0.88954,6.89281e-05,6.89281e-05,6.89281e-05
15,7.38787,1.35969,3.94571,1.08486,0.02156,0.54167,0.1725,0.11974,0.99117,3.89142,0.88676,7.22511e-05,7.22511e-05,7.22511e-05
16,7.73288,1.50811,3.73102,1.18366,0.02188,0.54167,0.09989,0.07793,0.98272,3.88437,0.88187,7.52913e-05,7.52913e-05,7.52913e-05
17,8.05332,1.43331,3.79663,1.07932,0.02451,0.58333,0.14797,0.11962,0.99715,3.86079,0.87315,7.80488e-05,7.80488e-05,7.80488e-05
18,8.39098,1.45442,3.81928,1.11939,0.02451,0.58333,0.14797,0.11962,0.99715,3.86079,0.87315,8.05235e-05,8.05235e-05,8.05235e-05
19,8.73067,1.40054,3.70492,1.06488,0.02436,0.58333,0.25218,0.19101,1.0052,3.84365,0.87055,8.27155e-05,8.27155e-05,8.27155e-05
20,9.07342,1.42465,3.51213,1.13279,0.02436,0.58333,0.25218,0.19101,1.0052,3.84365,0.87055,8.46247e-05,8.46247e-05,8.46247e-05
21,9.44364,1.53329,3.65635,1.12722,0.02478,0.58333,0.2504,0.18955,1.01409,3.83742,0.86786,8.62512e-05,8.62512e-05,8.62512e-05
22,9.77527,1.37791,3.45732,1.12089,0.02478,0.58333,0.2504,0.18955,1.01409,3.83742,0.86786,8.75949e-05,8.75949e-05,8.75949e-05
23,10.0999,1.26285,3.30649,1.03887,0.02491,0.58333,0.27321,0.20705,1.02621,3.82423,0.86972,8.8656e-05,8.8656e-05,8.8656e-05
24,10.4394,1.67838,3.37046,1.2551,0.02491,0.58333,0.27321,0.20705,1.02621,3.82423,0.86972,8.94342e-05,8.94342e-05,8.94342e-05
25,10.772,1.38211,3.33218,1.15421,0.02587,0.58333,0.27156,0.20905,1.05137,3.82537,0.87754,8.99297e-05,8.99297e-05,8.99297e-05
26,11.109,1.57886,3.36883,1.30969,0.02587,0.58333,0.27156,0.20905,1.05137,3.82537,0.87754,9.01425e-05,9.01425e-05,9.01425e-05
27,11.4451,1.47305,3.31399,1.15064,0.02194,0.52083,0.23751,0.17046,1.03528,3.81061,0.87188,9.00725e-05,9.00725e-05,9.00725e-05
28,11.7753,1.55409,3.21115,1.1704,0.02194,0.52083,0.23751,0.17046,1.03528,3.81061,0.87188,8.97198e-05,8.97198e-05,8.97198e-05
29,12.1226,1.52738,3.22134,1.31043,0.02281,0.52083,0.22355,0.15842,1.043,3.80312,0.88316,8.90844e-05,8.90844e-05,8.90844e-05
30,12.4528,1.45989,3.17834,1.1567,0.02281,0.52083,0.22355,0.15842,1.043,3.80312,0.88316,8.81661e-05,8.81661e-05,8.81661e-05
31,12.8009,1.32305,3.16426,1.02673,0.02275,0.52083,0.22271,0.15815,1.05353,3.78983,0.88822,8.69652e-05,8.69652e-05,8.69652e-05
32,13.1237,1.567,3.12153,1.12516,0.02275,0.52083,0.22271,0.15815,1.05353,3.78983,0.88822,8.54815e-05,8.54815e-05,8.54815e-05
33,13.5676,1.57429,3.18129,1.25554,0.02424,0.52083,0.15783,0.11296,1.05823,3.77447,0.89447,8.37151e-05,8.37151e-05,8.37151e-05
34,13.8776,1.42774,3.05209,1.14477,0.02424,0.52083,0.15783,0.11296,1.05823,3.77447,0.89447,8.16659e-05,8.16659e-05,8.16659e-05
35,14.2173,1.45647,3.06641,1.17103,0.02365,0.52083,0.15635,0.111,1.06285,3.75095,0.89728,7.9334e-05,7.9334e-05,7.9334e-05
36,14.5575,1.57555,2.86943,1.21758,0.02365,0.52083,0.15635,0.111,1.06285,3.75095,0.89728,7.67193e-05,7.67193e-05,7.67193e-05
37,14.8777,1.56905,2.842,1.21835,0.02383,0.52083,0.2212,0.15697,1.07005,3.72161,0.89853,7.38219e-05,7.38219e-05,7.38219e-05
38,15.2042,1.50024,3.00068,1.16748,0.02383,0.52083,0.2212,0.15697,1.07005,3.72161,0.89853,7.06417e-05,7.06417e-05,7.06417e-05
39,15.5503,1.6059,3.09877,1.3825,0.02323,0.52083,0.22302,0.16227,1.07263,3.69398,0.90311,6.71788e-05,6.71788e-05,6.71788e-05
40,15.8728,1.47801,2.98081,1.12592,0.02323,0.52083,0.22302,0.16227,1.07263,3.69398,0.90311,6.34332e-05,6.34332e-05,6.34332e-05
41,19.0356,1.42398,2.85236,1.19646,0.02326,0.52083,0.24292,0.18084,1.07116,3.67138,0.89937,5.94048e-05,5.94048e-05,5.94048e-05
42,19.4671,1.34563,2.79727,1.14845,0.02326,0.52083,0.24292,0.18084,1.07116,3.67138,0.89937,5.50937e-05,5.50937e-05,5.50937e-05
43,19.8416,1.44967,2.74971,1.21476,0.02305,0.52083,0.24426,0.18185,1.08087,3.65418,0.90211,5.04998e-05,5.04998e-05,5.04998e-05
44,20.1745,1.47951,2.76675,1.11644,0.02305,0.52083,0.24426,0.18185,1.08087,3.65418,0.90211,4.56232e-05,4.56232e-05,4.56232e-05
45,20.5287,1.48097,2.7331,1.14141,0.02661,0.64583,0.24972,0.18248,1.09099,3.6384,0.91161,4.04638e-05,4.04638e-05,4.04638e-05
46,20.8411,1.44981,2.80048,1.20323,0.02661,0.64583,0.24972,0.18248,1.09099,3.6384,0.91161,3.50217e-05,3.50217e-05,3.50217e-05
47,21.1744,1.34956,2.77667,1.19502,0.02668,0.64583,0.25192,0.18438,1.09509,3.62745,0.9214,2.92968e-05,2.92968e-05,2.92968e-05
48,21.4959,1.37584,2.75198,1.07476,0.02668,0.64583,0.25192,0.18438,1.09509,3.62745,0.9214,2.32893e-05,2.32893e-05,2.32893e-05
49,21.8902,1.51583,2.68054,1.21706,0.02911,0.67708,0.25564,0.18742,1.10696,3.6066,0.92453,1.69989e-05,1.69989e-05,1.69989e-05
50,22.2091,1.38367,2.59673,1.16508,0.02911,0.67708,0.25564,0.18742,1.10696,3.6066,0.92453,1.04258e-05,1.04258e-05,1.04258e-05
