title,content
"술 먹는 침팬지…""야생 소변 샘플 20개 검사, 17개서 알코올 대사물 검출""","

▲ 나무 위에서 과일을 먹고 있는 우간다 응고고의 서부 침팬지

 아프리카 우간다에 서식하는 야생 침팬지들의 소변 샘플을 채취해 검사한 결과 대부분 샘플에서 하루 두 잔가량의 술을 마신 수준의 알코올 대사물질이 검출됐다는 연구 결과가 나왔습니다. 
  
 미국 버클리 캘리포니아대(UC Berkeley) 로버트 더들리 교수팀은 25일 과학 저널 바이올로지 레터스(Biology Letters)에서 우간다 키발레 국립공원 내 침팬지들의 소변 샘플 20개를 채취해 검사한 결과 17개에서 하루 한두 잔(알코올 14ｇ) 음주에 해당하는 알코올 대사물질이 검출됐다고 밝혔습니다. 
  
 연구팀은 이에 대해 원숭이 등 영장류가 자연 발효된 과일을 먹고 알코올 섭취 능력을 진화시켰다는 음주의 기원에 관한 '취한 원숭이 가설'(drunken monkey hypothesis)'을 입증하는 증거일 수 있다고 분석했습니다. 
  
 인류가 술을 마시게 된 것이 침팬지 등 영장류와 인간의 공통 조상에서 기원했을 가능성을 시사하는 '취한 원숭이 가설'은 학계에서 널리 받아들여지고 있습니다. 
  
 실제로 과일을 주요 먹이로 하는 야생 침팬지들이 발효 과일을 먹는 모습이 여러 차례 관찰됐고, 더들리 교수팀은 이전 연구에서 침팬지들이 하루에 먹는 과일에 발효로 생성된 알코올이 약 14g가량 들어 있다는 분석 결과를 발표하기도 했습니다. 
  
 연구팀은 그러나 야생 침팬지들이 발효 과일을 통해 섭취하는 알코올의 양을 측정하려면 음주 측정기 사용이 현실적으로 어렵기 때문에 소변을 채취해 분석하는 게 유일한 선택이라고 연구 배경을 설명했습니다. 
  
 이들은 나무 위에 있는 침팬지의 소변을 채취하기 위해 Y자 모양으로 갈라진 긴 나뭇가지 끝을 비닐봉지로 감싸 넓고 얕은 플라스틱 그릇처럼 도구를 만든 다음, 우간다 키발레 국립공원에서 나무 위 침팬지들의 움직임을 관찰하며 11일 동안 소변 샘플 20개를 채취했습니다. 
  
 이들 소변 샘플은 19마리의 서로 다른 서부침팬지(Pan troglodytes)로부터 나왔습니다. 
  
 소변 샘플 분석에는 밀리리터당 300나노그램(ng/mL) 또는 500나노그램 이상의 알코올 대사물질(Ethylglucuronide)에 반응하는 상업용 시험지가 사용됐습니다. 
  
 분석 결과 20개의 소변 샘플 가운데 17개는 300ng/mL 시험지에 반응했으며, 11개는 500ng/mL 시험지에도 반응했습니다. 
  
 연구팀은 500ng/mL는 사람의 경우 최근 24시간 이내에 1~2잔(알코올 14ｇ)을 마신 이후 예상되는 수치라며 약간 발효된 과일을 오전 내내 섭취한 침팬지에서 비슷한 수준의 알코올 대사물질이 검출됐다고 밝혔습니다. 
  
 또 침팬지들이 대량으로 먹고 있던 스타애플들을 수집해 분석한 결과 당 함량은 약 20%, 에탄올은 중량 기준 0.09% 수준인 것으로 나타났습니다. 
  
 침팬지들은 하루 약 4.5㎏의 과일을 먹는 것으로 추정됩니다. 
  
 논문 제1 저자인 알렉세이 마로 연구원(박사과정)은 ""이 연구 결과는 '취한 원숭이 가설'과 관련해 동물이 인간과 유사한 방식으로 알코올을 경험할 만큼 환경에 알코올이 충분히 존재하는지에 대한 의문을 해소해 주는 것""이라고 설명했습니다. 
  
 더들리 교수는 그러나 ""이 연구가 '취한 원숭이 가설'의 모든 공백을 메운 것은 아니다""라며 ""침팬지가 에탄올 함량이 더 높은 과일을 선택적으로 섭취한다는 점을 입증하는 것이 이 가설의 마지막 고리로 남아 있다""고 말했습니다. 
  
 (사진=Aleksey Maro/UC Berkeley 제공, 연합뉴스)
 "
"미국, 유럽·중동에 군용기 150대 이동…이라크전 이후 최대","

▲ 제럴드 R. 포드함

 미국이 유럽과 중동 기지로 150대 넘는 군용기를 이동시킨 것으로 나타났습니다. 
  
 워싱턴포스트(WP)는 24일(현지시간) 공개된 비행 추적 데이터와 위성사진을 토대로 미국이 2003년 이라크 전쟁 이후 최대 규모의 군사력을 이 지역에 배치했다고 보도했습니다. 
  
 지난 20일 촬영된 위성 사진에 따르면 요르단 무와파크 살티 공군기지에선 60대 이상의 전투기가 포착됐습니다. 
  
 특히 스텔스 성능과 전자전 능력을 갖춘 F-35 전투기도 12대 이상 확인됐습니다. 
  
 최근 공개된 사진에선 영국 공군 기지에 F-22A 랩터 12대가 배치된 모습과 아조레스 제도에 F-16 전투기가 착륙하는 장면이 담겼습니다. 
  
 또한 미군은 최근 유럽과 중동에 E-3G 센트리 조기경보기 전력의 3분의 1 이상을 배치했습니다. 
  
 대형 회전식 레이더 돔을 장착한 이 기종은 목표 탐지와 전천후 감시가 가능하고, 주변 공역의 활동을 실시간으로 파악할 수 있습니다. 
  
 비행 추적 데이터에 나타난 항공기의 대다수는 수송기와 공중급유기입니다. 
  
 전투기는 위치 정보 송신을 끄는 경우가 많아 위성 사진에 포착되지 않는 한 추적이 어렵습니다. 
  
 또한 이달 초 중동에 배치된 항공모함 에이브러햄 링컨과 이 지역으로 파견된 항공모함 제럴드 R. 포드에도 수십 대의 전투기가 배치돼 있습니다. 
  
 포드 항공모함 전단이 목표 해역에 도착할 경우 미 해군 현역 함정의 약 3분의 1이 이 지역에 배치되는 셈입니다. 
  
 이번 전력 증강은 지난 17일 미국과 이란의 핵 협상이 별다른 성과 없이 마무리된 이후 이뤄졌습니다. 
  
 전문가들은 미군의 이 같은 군사력 집중은 지상 침공 없이 수일간 공중작전을 펼치는 시나리오를 염두에 뒀을 가능성이 있다고 분석했습니다. 
  
 앞서 도널드 트럼프 대통령은 핵 합의가 타결되지 않을 경우 이란을 공격할 수 있다고 밝혔습니다. 
  
 데이나 스트롤 전 국방부 부차관보는 ""대규모 군사력 집결은 트럼프 대통령이 무엇을 결정하든 실행 가능하다는 의미""라며 ""장기간의 고강도 작전부터 제한적이고 표적화된 공격까지 가능하다""고 말했습니다. 
  
 (사진=미 해군 제공, AP, 연합뉴스)
 "
"미국, 서안지구서 첫 영사 서비스…이스라엘 ""환영""","

▲ 서안지구의 이스라엘 군용 차량

 미국이 요르단강 서안의 이스라엘 정착촌에서 처음으로 영사 업무를 시작합니다. 
  
 이스라엘의 정착촌 확대 추진에 중동을 비롯한 국제사회가 비판을 쏟아내는 가운데 발표된 조치여서, 미국이 이스라엘을 간접 지지한 게 아니냐는 해석도 나옵니다. 
  
 로이터·AP통신 등에 따르면 예루살렘 주재 미국대사관은 24일(현지시간) 소셜미디어 엑스(X·옛 트위터) 게시물을 통해 ""영사업무 담당관들이 오는 27일 에프라트에서 통상적인 여권 서비스를 제공할 것""이라고 밝혔습니다. 
  
 에프라트는 베들레헴 남쪽의 정착촌입니다. 
  
 대사관은 향후 몇 달 안에 베이타르 일리트를 비롯한 다른 이스라엘 정착촌에서도 비슷한 영사 서비스를 제공할 계획이라며 ""모든 미국인에게 다가가기 위한 노력""이라고 설명했습니다. 
  
 서안지구에는 미국-이스라엘 복수 국적자가 수만 명 거주하는 것으로 추정되고 있습니다. 
  
 이러한 움직임은 이스라엘 정착촌 문제에 과거 정부보다 훨씬 더 친화적인 도널드 트럼프 미국 행정부의 정책 전환이 계속되고 있음을 보여준다고 AP는 분석했습니다. 
  
 트럼프 대통령은 이스라엘의 서안지구 병합에 반대한다고 언급한 바 있지만, 정착 행위를 막기 위한 어떠한 조치도 취하지 않았다고 로이터는 지적했습니다. 
  
 이스라엘 외무부는 엑스에 ""예루살렘 미국 대사관의 영사 서비스 확대라는 역사적인 결정을 환영한다""는 글을 올려 미국의 이번 발표를 반겼습니다. 
  
 이스라엘이 대부분 점령 중인 서안지구와 동예루살렘에는 340만 명 넘는 팔레스타인인과 70만여 명의 이스라엘인이 거주하고 있습니다. 
  
 팔레스타인이 미래 독립 국가 건설을 추진하는 이들 지역에서 이스라엘이 정착촌을 건설하는 데 대해, 국제사회는 '국제법상 불법일 뿐만 아니라 평화의 장애물'이라며 반대하고 있습니다. 
  
 실제로 2023년 10월 가자지구 전쟁 시작 이후 서안지구에서의 정착민 폭력 행위와 이스라엘군 공격이 늘어났다고 AP는 전했습니다. 
  
 그러나 베냐민 네타냐후 총리가 이끄는 이스라엘 우파 정부는 최근 이스라엘인이 서안지구에서 토지를 쉽게 구매하고 등록할 수 있도록 하는 내용의 조치를 발표해 팔레스타인 측으로부터 거센 비난을 받았습니다. 
  
 (사진=게티이미지)
 "
"이란, 미국과 핵협상 앞두고 ""타결 가시권…외교 최우선해야""","

▲ 아바스 아라그치 이란 외무장관

 이란은 미국을 상대로 3차 핵협상을 이틀 앞두고 '역사적 합의'가 가시권에 있다면서 일단은 청신호를 켰습니다. 
  
 아바스 아라그치 이란 외무장관은 24일(현지시간) 엑스(X·옛 트위터)에 올린 글에서 ""우리는 상호 우려를 해소하고 상호 이익을 달성할 수 있는 전례 없는 합의를 이룰 역사적 기회를 맞이했다""며 이 같은 입장을 밝혔습니다. 
  
 그러면서 ""타결이 가까웠으나, 외교가 우선순위에 있을 때만 그렇다""고 강조했습니다. 
  
 이 발언은 도널드 트럼프 미 행정부가 핵협상과 맞물려 중동에 군사력을 집중시키면서 이란을 압박하는 와중에 나온 것입니다. 
  
 아라그치 장관은 이어 ""이란은 어떠한 상황에서도 핵무기를 개발하지 않을 것""이라면서도 ""평화적 핵기술의 혜택을 누릴 권리는 포기하지 않을 것""이라고 덧붙였습니다. 
  
 또 ""주권을 지키기 위해서는 어떠한 것도 마다하지 않을 것""이라고 덧붙였습니다. 
  
 이란 외무부는 23일 ""설령 제한적일지라도 어떠한 공격도 침략 행위로 간주할 것""이라고 경고한 바 있습니다. 
  
 앞서 미국과 이란은 지난해 다섯 차례 핵 협상을 진행했지만 이스라엘이 작년 6월 이란을 전격 공습한 '12일 전쟁' 여파로 중단됐다가 올해 들어 지난 6일 오만에서 재개된 것을 시작으로 17일 스위스까지 두 차례 협상이 진행됐습니다. 
  
 이런 가운데 이란에서는 반정부 학생 시위가 이어지고 있습니다. 
  
 테헤란의 한 대학에서는 새 학기 시작과 함께 나흘째 집회가 열렸습니다. 
  
 온라인에 공개된 영상에는 학생들 간 충돌 장면도 담겼습니다. 
  
 일부 학생들은 1979년 이슬람혁명 이후 채택된 국기를 불태운 것으로 전해졌습니다.
 "
"미국 법원, ""오픈AI가 영업비밀 빼갔다"" 주장한 xAI 소송 기각","

▲  xAI 그록(Grok) 

 일론 머스크의 인공지능(AI) 기업 xAI가 '오픈AI가 영업비밀을 훔쳤다'며 제기한 소송을 미국 법원이 기각했습니다. 
  
 미국 샌프란시스코 소재 연방법원의 리타 린 판사는 xAI가 자신들의 주장을 구체화하지 못했다며 이같이 결정했다고 로이터 통신이 24일(현지시간) 보도했습니다. 
  
 린 판사는 ""xAI는 오픈AI가 자사 출신 직원들에게 영업비밀을 훔치도록 유도했다는 사실이나, 이들 직원이 오픈AI에 고용된 후 훔친 영업비밀을 사용했다는 사실을 구체적으로 주장하지 못했다""고 지적했습니다. 
  
 실제로 xAI의 소장은 오픈AI가 영업비밀을 빼내오도록 요구했다는 주장 등의 근거로 '정보와 믿음'을 들고 있을 뿐, 관련 증거를 제시하거나 이 같은 행위가 언제 어떻게 이뤄졌는지 등 세부적인 내용은 언급하지 않고 있습니다. 
  
 린 판사는 다만 xAI가 근거 자료 등을 보강해 새로 소송을 제기할 수는 있다고 설명했습니다. 
  
 앞서 xAI는 자사 AI 모델 '그록'(Grok) 개발에 참여했던 엔지니어 쉬에천 리를 비롯한 전직 직원들이 오픈AI로 옮기면서 자사 영업 비밀을 빼돌렸다며 지난해 9월 소송을 제기했습니다. 
  
 머스크 xAI 최고경영자(CEO)는 이외에도 오픈AI가 비영리로 운영한다는 약속을 어기고 영리 기업으로 전환했다는 내용의 소송도 제기한 상태입니다. 
  
 (사진=게티이미지)
 "
"중국 누리꾼, ""한국은 문화 도둑국"" ""중국설 훔쳤다"" 주장","

▲ 중국 누리꾼으로 추정되는 이들이 서 교수 SNS에 남긴 댓글과 DM

 중국 누리꾼으로 추정되는 일부 사회관계망서비스(SNS) 이용자들이 ""한국은 문화 도둑국"", ""중국설을 훔쳐 설날을 만들었다""고 주장한 것으로 알려졌습니다. 
  
 서 교수는 오늘(25일) SNS를 통해 ""많은 중국 누리꾼이 댓글과 다이렉트 메시지(DM)로 테러를 자행했다""며 ""근거 없는 글과 욕을 1주일 내내 끊임없이 달았다""고 밝혔습니다. 
  
 그는 최근 SNS를 통해 설을 전후로 전 세계 곳곳에서 잘못 쓰이고 있는 '중국설' 표기를 '음력설' 표기로 바꾸자는 캠페인을 펼친 바 있습니다. 
  
 유엔, 애플, 영국박물관 등에서는 여전히 '중국설' 표기를 유지하고 있습니다. 
  
 서 교수는 지난해 추석 때 잉글랜드 프리미어리그(EPL) 구단 맨체스터 시티가 한국 팬들을 위해 추석 인사 영상을 올렸다가 논란이 된 일화도 언급했습니다. 
  
 당시 이 영상을 두고 중국 일부 언론은 ""중국 전통문화를 훔쳤다""고 비난했고, ""중국 내 여론이 들끓고 있다""고 보도하기도 했습니다. 
  
 서 교수는 ""한국이 중국 문화를 훔쳤다는 억지 주장은 멈추고, 한국 드라마와 영화, 예능 등 다양한 문화 콘텐츠를 훔쳐보지 말아야 한다""며 ""한국 기업의 인기 상품을 짝퉁으로 만들어 더 이상 전 세계에 유통하지 말길 바란다""고 지적했습니다. 
  
 (사진=서경덕 교수 SNS 캡처, 연합뉴스)
 "
"길거리서 무료로…""참된 스승"" 쏟아진 찬사","
  하루가 멀다하고 삭막한 소식이 들려오는 요즘, 이런 사람들이 있어 아직은 살만한 세상 아닌가 싶습니다. 
  
 인도로 가보시죠. 
  
 한 남성이 도심 길거리에서 책을 펴고 아이들에게 공부를 가르치고 있습니다. 
  
 인도의 수도 뉴델리에서 포착된 모습입니다. 
  
 이 남성은 공립학교에서 힌디어를 가르치는 현직 교사인데요. 
  
 정규 수업을 받기 어려운 아이들을 위해 밤마다 무료로 길거리 교실을 열고 있다고 하네요. 
  
 금전적 보상이나 명예를 위해서가 아니라 남성이 오직 아이들을 돕기 위해 함께 시간을 보내는 것으로 알려지면서 현지에선 이 시대 참된 스승의 모습이라는 칭찬이 쏟아지고 있는데요. 
  
 인도는 6살에서 14살 아이들에게 무상 의무교육을 제공하고 있지만, 실제로는 빈곤층이나 낮은 카스트 계급 출신 등으로 학교에서 공부하지 못하는 아이들이 여전히 많은 것으로 알려져 있습니다. 
  
 (화면출처 : 인스타그램 @themojostory, @_anshukumar_0l0)
 "
스키 타다 '화들짝'…설원 가로질러 전력 질주,"
  설원에서 스키를 타는 사람들 앞으로 갑자기 곰 세 마리가 나타납니다. 
  
 하마터면 부딪칠 뻔했는데요. 
  
 미국 캘리포니아주의 한 스키장에서 포착된 모습입니다. 
  
 어미 곰 한 마리와 새끼 곰 두 마리가 나타나 스키 코스를 가로질렀는데, 겨울잠에서 잠시 깨 이동하다 길을 잘못 든 것 같다고 하네요. 
  
 다행히 곰이 공격성을 드러내지 않아 별다른 피해는 없었는데, 곰들도 그 뒤 무사히 숲으로 돌아간 것으로 전해졌습니다. 
  
 (화면출처 : X @209TimesCA) 
    
 "
"노인 도왔더니 ""4,500만 원 배상하라""…논란 터진 장면","
  중국에서 선행을 베푼 여중생들이 되레 거액의 손해배상 소송에 휘말리면서 온라인을 뜨겁게 달구고 있습니다. 
  
 중국 푸젠성의 한 도로에서 자전거를 타고 가던 노인이 중심을 잃고 그대로 넘어집니다. 
  
 마침 전기자전거를 타고 지나던 여중생 2명이 넘어진 노인을 보고 돕기 위해 나서는데요. 
  
 학생들은 노인을 부축하고 자전거를 일으켜 세워줬는데, 그 뒤 노인은 학생들이 탄 전기자전거 때문에 놀라 넘어졌다면서 학생과 보호자들을 상대로 우리 돈 약 4천500만 원의 배상을 요구했습니다. 
  
 마주 오던 흰색 차량을 피해 방향을 바꿨는데 코너길에서 학생들이 탄 전기자전거가 나타나 중심을 잃고 넘어졌다는 게 노인의 주장이었는데요. 
  
 현장 CCTV를 확인한 현지 교통경찰도 학생들에게 2차 책임이 있다고 판단한 것으로 전해졌습니다. 
  
 선의로 나섰다가 법적 분쟁에 휘말린 학생들은 억울함을 호소했는데요. 
  
 사건이 현지 언론과 SNS를 통해 빠르게 확산되며 전국적인 논란으로 번지자, 노인은 심리적 부담을 느껴 뒤늦게 소송을 취하했다고 하네요. 
  
 (화면출처 : 유튜브 @01official)
 "
"유엔총회, 우크라 지지 결의 채택…미·중은 기권","

▲ 유엔총회 우크라 결의안 채택

 유엔총회는 러시아가 우크라이나를 침공한 지 4년이 된 현지 시간 24일, 뉴욕 유엔본부에서 회의를 열고 우크라이나의 지속적인 평화를 지지하는 내용의 결의를 채택했습니다. 
  
 투표에 참여한 유엔 회원국 170개국 가운데 한국을 포함한 107개국이 찬성표를 던졌고, 러시아, 북한, 벨라루스 등 12개국이 반대표를 던졌습니다. 
  
 미국과 중국을 포함한 51개국은 기권했습니다. 
  
 유엔총회 결의는 러시아의 우크라이나 침공이 4년째 지속되면서 우크라이나와 지역·국제 안정에 심각하고 장기적인 결과를 초래하고 있는 것에 우려를 표하면서 우크라이나의 주권과 독립, 영토 보전에 대한 강력한 지지를 재확인하는 내용을 담았습니다. 
  
 우크라이나의 민간 시설 및 민간인, 에너지 기반 시설을 대상으로 한 러시아의 강화된 공격과 인도주의적 상황의 심각한 악화에 깊은 우려를 표하면서 양국에 즉각적이고 무조건적인 휴전을 촉구했습니다. 
  
 유엔총회 결의는 유엔 안전보장이사회(안보리) 결의와 달리 국제법상 구속력은 없지만 다수 유엔 회원국의 의지를 반영했다는 점에서 정치적·외교적인 의미를 지닙니다. 
  
 주유엔 미국대표부의 태미 브루스 부대사는 미국이 기권을 행사한 배경에 대해 전쟁 종식을 위한 외교적 노력을 지원하기보다는 오히려 그 노력을 방해할 가능성이 있는 문구가 포함돼 있다고 설명했다고 AFP통신은 전했습니다. 
  
 안보리도 우크라이나를 의제로 공식회의를 열었지만, 별도 결의안이나 성명 채택은 하지 않았습니다. 
  
 안보리는 의사결정 구조상 상임이사국인 러시아가 거부권을 보유하고 있어 우크라이나 전쟁과 관련해 행동을 취하지 못한다는 국제사회의 지적을 받아왔습니다. 
  
 브루스 주유엔 미국 부대사는 안보리 발언에서 ""트럼프 대통령의 리더십 아래 미국은 협상을 통한 지속 가능한 전쟁 종식을 위해 계속해서 노력하고 있다""며 ""군사력으로는 결코 이 분쟁을 해결할 수 없으며, 오직 양측이 합의하는 외교적 해결책만이 끝낼 수 있다""라고 말했습니다. 
  
 이어 북한, 이란, 쿠바 등 제3국이 러시아를 지원하는 게 전쟁을 지속 가능하게 만들고 있다며 러시아에 대한 모든 지원 중단을 촉구했습니다. 
  
 안토니우 구테흐스 유엔 사무총장은 이날 안보리 회의에서 로즈메리 디카를로 유엔 사무차장이 대독한 성명에서 우크라이나 전쟁이 ""우리 공동의 양심에 남은 얼룩""이라고 말하며 즉각적인 휴전을 촉구했습니다. 
  
 구테흐스 총장은 러시아의 우크라이나 침공에 대해 ""우리는 이 명백한 국제법 위반이 초래한 연쇄적 결과를 목격해 왔다""며 ""지금은 즉각적이고 완전하며 무조건적인 휴전을 실현할 때""라고 강조했습니다. 
  
 (사진=연합뉴스)
 "
