매물ID,브랜드,제조사,모델,등급명,세부트림,차량명,현재가격_만원,가격로그,연식,차량연령,주행거리_km,주행거리_로그,연료,변속기,색상,지역,차급,배기량_cc,좌석수,압류건수,저당건수,보험이력건수,보험이력_여부,교환_개수,판금_개수,부식_여부,교환_여부,판금_여부,외판수리_여부,사고강도점수,사고종합_여부,중대사고_추정,부식_위험,옵션_기본코드개수,옵션_선택코드개수,옵션_튜닝코드개수,옵션_기타개수,엔카진단여부값,엔카믿고값,조회수,찜수
41187436,현대,현대,팰리세이드,디젤 2.2 4WD,프레스티지,팰리세이드 디젤 2.2 4WD 프레스티지,2750,7.919719760924575,2021,5,82643,11.3222975053327,디젤,오토,청색,경기,SUV,2199,7.0,0.0,0.0,,,,,1.0,,,,,,,1.0,48,2,0,0,1,-1,346.0,2.0
41383192,현대,현대,아반떼 (CN7),1.6 LPi (렌터카),스마트,아반떼 (CN7) 1.6 LPi (렌터카) 스마트,1429,7.265429723253953,2022,4,108149,11.591274431381205,LPG(일반인 구입),오토,흰색,충남,준중형차,1591,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,32,2,0,0,1,-1,1251.0,8.0
41635048,현대,현대,그랜저 IG,3.0 익스클루시브,,그랜저 IG 3.0 익스클루시브,1575,7.362645270417825,2018,8,93019,11.440569802778088,가솔린,오토,쥐색,부산,대형차,2999,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,43,0,0,0,1,-1,216.0,1.0
41524814,현대,현대,싼타페 (MX5),HEV 1.6 2WD,캘리그래피,싼타페 (MX5) HEV 1.6 2WD 캘리그래피,4259,8.357024439263416,2024,2,6713,8.81195017753998,가솔린+전기,오토,흰색,서울,SUV,1598,6.0,0.0,0.0,,,,,1.0,,,,,,,1.0,52,7,0,0,1,-1,2027.0,25.0
41485947,현대,현대,쏘나타 (DN8),2.0,프리미엄,쏘나타 (DN8) 2.0 프리미엄,1560,7.353081920515432,2021,5,42058,10.646828673415325,가솔린,오토,쥐색,서울,중형차,1999,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,35,1,0,0,-1,-1,2008.0,27.0
41195546,현대,현대,벨로스터 (JS),2.0 N,,벨로스터 (JS) 2.0 N,1499,7.313220387090301,2020,6,125302,11.738490083135453,가솔린,수동,하늘색,서울,준중형차,1998,4.0,0.0,0.0,,,,,1.0,,,,,,,1.0,32,2,0,0,2,-1,969.0,20.0
41648404,현대,현대,아반떼 (CN7),1.6,모던,아반떼 (CN7) 1.6 모던,2200,7.696667081526462,2023,3,38461,10.557426019870793,가솔린,오토,흰색,경기,준중형차,1598,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,40,3,0,0,2,-1,76.0,1.0
41552633,현대,현대,스타리아,카고 3인승,모던,스타리아 카고 3인승 모던,2050,7.62608275807238,2022,4,68976,11.14152839467816,디젤,오토,흰색,경기,승합차,2199,3.0,0.0,0.0,,,,,1.0,,,,,,,1.0,32,2,0,0,-1,-1,1121.0,17.0
41056624,현대,현대,쏘나타 (DN8),1.6 터보,프리미엄 플러스,쏘나타 (DN8) 1.6 터보 프리미엄 플러스,2470,7.81237820598861,2022,4,9527,9.161990111035136,가솔린,오토,쥐색,서울,중형차,1598,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,45,3,0,0,2,-1,1938.0,29.0
41595091,현대,현대,아이오닉5,롱레인지,프레스티지,아이오닉5 롱레인지 프레스티지,3320,8.108021221376747,2022,4,60856,11.0162821287756,전기,오토,은회색,부산,준중형차,111,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,45,1,0,0,1,-1,502.0,5.0
41528621,현대,현대,쏘나타 뉴 라이즈,1.7 디젤 스마트,,쏘나타 뉴 라이즈 1.7 디젤 스마트,1530,7.333676395657684,2019,7,17727,9.78290058954701,디젤,오토,검정색,경기,중형차,1685,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,31,1,0,0,-1,-1,507.0,4.0
40963155,현대,현대,그랜저 HG,HG220 디젤 프리미엄,,그랜저 HG HG220 디젤 프리미엄,870,6.769641976852503,2016,10,163167,12.002535623854882,디젤,오토,흰색,대전,대형차,2199,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,44,4,1,0,-1,-1,1255.0,21.0
41489353,현대,현대,코나 하이브리드,프리미엄 스페셜,,코나 하이브리드 프리미엄 스페셜,1690,7.43307534889858,2020,6,112586,11.631481535091796,가솔린+전기,오토,흰색,경기,SUV,1580,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,43,4,0,0,-1,-1,564.0,6.0
41644764,현대,현대,그랜저 IG,2.4 스페셜,,그랜저 IG 2.4 스페셜,1099,7.003065458786462,2018,8,151031,11.92524701387488,가솔린,오토,검정색,대구,대형차,2359,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,50,0,0,0,-1,-1,197.0,2.0
41656060,현대,현대,팰리세이드,가솔린 3.8 4WD,프레스티지,팰리세이드 가솔린 3.8 4WD 프레스티지,2430,7.796057974316123,2020,6,108970,11.598837070766487,가솔린,오토,흰색,서울,SUV,3778,7.0,0.0,0.0,,,,,1.0,,,,,,,1.0,50,6,0,0,-1,-1,44.0,0.0
41474687,현대,현대,쏘나타 디 엣지 하이브리드(DN8),프리미엄,,쏘나타 디 엣지 하이브리드(DN8) 프리미엄,2550,7.844240718141811,2024,2,50233,10.824447367258546,가솔린+전기,오토,흰색,경기,중형차,1999,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,36,2,0,0,-1,-1,2284.0,7.0
