idx,매물ID,상세링크,error
236,40945676,https://fem.encar.com/cars/detail/40945676?advClickPosition=mweb_mhightlight_g186_t49383&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=61662): Max retries exceeded with url: /session/71fa598c889a92e8ace863c2506f6780/element/f.4BA4A2392A9C43D5329960FDFA2BF3EB.d.85405ECC6CEC1834377400D0813DD166.e.20872/text (Caused by ReadTimeoutError(""HTTPConnectionPool(host='localhost', port=61662): Read timed out. (read timeout=120)""))"
237,41660601,https://fem.encar.com/cars/detail/41660601?advClickPosition=mweb_mhightlight_g187_t49383&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=61662): Read timed out. (read timeout=120)"
238,41662129,https://fem.encar.com/cars/detail/41662129?advClickPosition=mweb_mhightlight_g188_t49383&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=61662): Read timed out. (read timeout=120)"
239,41653279,https://fem.encar.com/cars/detail/41653279?advClickPosition=mweb_mhightlight_g189_t49383&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=61662): Read timed out. (read timeout=120)"
240,41653283,https://fem.encar.com/cars/detail/41653283?advClickPosition=mweb_mhightlight_g190_t49383&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=61662): Read timed out. (read timeout=120)"
241,41578163,https://fem.encar.com/cars/detail/41578163?advClickPosition=mweb_mhightlight_g191_t49383&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=61662): Read timed out. (read timeout=120)"
242,41549386,https://fem.encar.com/cars/detail/41549386?advClickPosition=mweb_mhightlight_g192_t49383&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
243,41548327,https://fem.encar.com/cars/detail/41548327?advClickPosition=mweb_mhightlight_g193_t49383&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
244,41502541,https://fem.encar.com/cars/detail/41502541?advClickPosition=mweb_mhightlight_g194_t49383&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
245,41495342,https://fem.encar.com/cars/detail/41495342?advClickPosition=mweb_mhightlight_g195_t49383&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
246,41652550,https://fem.encar.com/cars/detail/41652550?advClickPosition=mweb_mhightlight_g196_t49383&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
247,41634353,https://fem.encar.com/cars/detail/41634353?advClickPosition=mweb_mhightlight_g197_t49383&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
248,41617397,https://fem.encar.com/cars/detail/41617397?advClickPosition=mweb_mhightlight_g198_t49383&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
249,41416532,https://fem.encar.com/cars/detail/41416532?advClickPosition=mweb_mhightlight_g199_t49383&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
250,41401484,https://fem.encar.com/cars/detail/41401484?advClickPosition=mweb_mhightlight_g200_t49383&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
260,41400718,https://fem.encar.com/cars/detail/41400718?advClickPosition=mweb_mhightlight_g10_t49382&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
266,41327962,https://fem.encar.com/cars/detail/41327962?advClickPosition=mweb_mhightlight_g16_t49382&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
267,41326815,https://fem.encar.com/cars/detail/41326815?advClickPosition=mweb_mhightlight_g17_t49382&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
268,41315412,https://fem.encar.com/cars/detail/41315412?advClickPosition=mweb_mhightlight_g18_t49382&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
278,40792317,https://fem.encar.com/cars/detail/40792317?advClickPosition=mweb_mhightlight_g28_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
279,40828352,https://fem.encar.com/cars/detail/40828352?advClickPosition=mweb_mhightlight_g29_t49382&listAdvType=mhighlight&type=detail&view_type=normal,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
280,40804018,https://fem.encar.com/cars/detail/40804018?advClickPosition=mweb_mhightlight_g30_t49382&listAdvType=mhighlight&type=detail&view_type=normal,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
281,40475411,https://fem.encar.com/cars/detail/40475411?advClickPosition=mweb_mhightlight_g31_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
282,40466156,https://fem.encar.com/cars/detail/40466156?advClickPosition=mweb_mhightlight_g32_t49382&listAdvType=mhighlight&type=detail&view_type=normal,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
283,40488323,https://fem.encar.com/cars/detail/40488323?advClickPosition=mweb_mhightlight_g33_t49382&listAdvType=mhighlight&type=detail&view_type=normal,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
284,40320757,https://fem.encar.com/cars/detail/40320757?advClickPosition=mweb_mhightlight_g34_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
285,40264557,https://fem.encar.com/cars/detail/40264557?advClickPosition=mweb_mhightlight_g35_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
286,39900576,https://fem.encar.com/cars/detail/39900576?advClickPosition=mweb_mhightlight_g36_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
