차량명,연식,주행거리_km,연료,지역,가격_만원,상세링크_후보,raw_text
"차량검색 확장메뉴열기 최근 업데이트순 검색 조건 변경 0 대 검색조건 적용됨 확장메뉴 로그인 하면 더욱 편리합니다. 회원가입 엔카앱 다운로드 찜한 차량 최근 본 차량 검색 내역 차량검색 내차사기 내차팔기 내차사기 엔카믿고 내차 구매 처음부터 끝까지 '엔카믿고' 엔카진단 엔카종합보증 헛걸음보상 금융 · 보험 엔카시세 엔카금융 미디어 엔카미디어 이차어때 전기차 이야기 공지사항 이벤트 회사소개 클린엔카 엔카지점 엔카직영성능점검장 update 닫기 믿고 배송 믿고 방문 프리미엄 찜하기 무사고 / 타이어 앞,뒤 교체완 / 하체잡소리 없음 / 옵션굿 YF 쏘나타 LPI 프리미어(장애인용)",09/10식(10년형),98824,가솔린,서울,429,https://car.encar.com#none | https://m.encar.com/my/my_index.do?method=my_wishcar&WT.hit=mWeb_SideMenu_My_Wishcar | https://m.encar.com/my/my_index.do?method=viewRecentcar&WT.hit=mWeb_SideMenu_My_RecentCar | https://m.encar.com/my/my_index.do?method=viewRecentsearch&WT.hit=mWeb_SideMenu_My_RecentSearch | https://m.encar.com/ca/search.do?WT.hit=mWeb_SideMenu_CarSearch,"차량검색 확장메뉴열기 최근 업데이트순 검색 조건 변경 0 대 검색조건 적용됨 확장메뉴 로그인 하면 더욱 편리합니다. 회원가입 엔카앱 다운로드 찜한 차량 최근 본 차량 검색 내역 차량검색 내차사기 내차팔기 내차사기 엔카믿고 내차 구매 처음부터 끝까지 '엔카믿고' 엔카진단 엔카종합보증 헛걸음보상 금융 · 보험 엔카시세 엔카금융 미디어 엔카미디어 이차어때 전기차 이야기 공지사항 이벤트 회사소개 클린엔카 엔카지점 엔카직영성능점검장 update 닫기 믿고 배송 믿고 방문 프리미엄 찜하기 무사고 / 타이어 앞,뒤 교체완 / 하체잡소리 없음 / 옵션굿 YF 쏘나타 LPI 프리미어(장애인용) 09/10식(10년형) 98,824 km LPG(일반인 구입) 경기 429 만원 검정색 계열 찜하기 무사고/파노라마썬루프/올인원네비장착/무보증 전액 할부가능 YF 쏘나타 LPI 프리미어(장애인용) 10/01식 180,575 km LPG(일반인 구입) 경기 330 만원 검정색 계열 찜하기 엔카에서 직접 촬영한 100% 실매물입니다 YF 쏘나타 LPI 탑 10/11식(11년형) 158,915 km LPG(일반인 구입) 경기 250 만원 검정색 계열 찜하기 무사고/짧은주행거리/7일시승후구입여부결정가능 YF 쏘나타 CVVL 럭셔리 12/04식 105,294 km 가솔린 인천 430 만원 검정색 계열 찜하기 *[급매][방송출연우수딜러][가성비극강][차량상태최상급]* YF 쏘나타 Y20 프라임 블랙 10/10식(11년형) 113,663 km 가솔린 서울 399 만원 검정색 계열 찜하기 엔카 실촬영 YF 쏘나타 Y20 프라임 10/09식(11년형) 117,226 km 가솔린 경기 330 만원 검정색 계열 찜하기 가성비 끝판왕 !! YF 쏘나타 Y20 프라임 고급형 10/05식 136,187 km 가솔린 서울 430 만원 회색 계열 모바일 우대 찜하기 YF 쏘나타 Y20 럭셔리 12/01식 98,009 km 가솔린 경기 420 만원 찜하기 YF 쏘나타 LPI 럭셔리 12/06식 143,280 km LPG(일반인 구입) 대전 390 만원 찜하기 YF 쏘나타 Y20 프라임 고급형 10/05식 136,187 km 가솔린 서울 430 만원 맨위로 로그인 엔카지점 클린엔카 PC버전 사업자정보확인 개인정보처리방침 이용약관 금융소비자보호 엔카닷컴(주) 내 차를 최고가에 팔고, 믿고 사는 가장 좋은 방법. 엔카닷컴(주) 엔카닷컴(주)는 통신판매중개자로서 통신판매의 당사자가 아니며, 상품·거래정보, 거래에 대하여 책임을 지지 않습니다. 네이버 블로그 인스타그램 유튜브 페이스북"
"프리미엄 찜하기 무사고 / 타이어 앞,뒤 교체완 / 하체잡소리 없음 / 옵션굿 YF 쏘나타 LPI 프리미어(장애인용)",09/10식(10년형),98824,가솔린,서울,429,https://fem.encar.com/cars/detail/40477859?advClickPosition=mweb_mopre_g1_t0&listAdvType=mpremium&type=detail&view_type=checked | https://fem.encar.com/cars/detail/40903390?advClickPosition=mweb_mopre_g2_t0&listAdvType=mpremium&type=detail&view_type=checked | https://fem.encar.com/cars/detail/39486507?advClickPosition=mweb_mopre_g3_t0&listAdvType=mpremium&type=detail&view_type=normal | https://fem.encar.com/cars/detail/41054615?advClickPosition=mweb_mopre_g4_t0&listAdvType=mpremium&type=detail&view_type=checked | https://fem.encar.com/cars/detail/41509017?advClickPosition=mweb_mopre_g5_t0&listAdvType=mpremium&type=detail&view_type=checked,"프리미엄 찜하기 무사고 / 타이어 앞,뒤 교체완 / 하체잡소리 없음 / 옵션굿 YF 쏘나타 LPI 프리미어(장애인용) 09/10식(10년형) 98,824 km LPG(일반인 구입) 경기 429 만원 검정색 계열 찜하기 무사고/파노라마썬루프/올인원네비장착/무보증 전액 할부가능 YF 쏘나타 LPI 프리미어(장애인용) 10/01식 180,575 km LPG(일반인 구입) 경기 330 만원 검정색 계열 찜하기 엔카에서 직접 촬영한 100% 실매물입니다 YF 쏘나타 LPI 탑 10/11식(11년형) 158,915 km LPG(일반인 구입) 경기 250 만원 검정색 계열 찜하기 무사고/짧은주행거리/7일시승후구입여부결정가능 YF 쏘나타 CVVL 럭셔리 12/04식 105,294 km 가솔린 인천 430 만원 검정색 계열 찜하기 *[급매][방송출연우수딜러][가성비극강][차량상태최상급]* YF 쏘나타 Y20 프라임 블랙 10/10식(11년형) 113,663 km 가솔린 서울 399 만원 검정색 계열 찜하기 엔카 실촬영 YF 쏘나타 Y20 프라임 10/09식(11년형) 117,226 km 가솔린 경기 330 만원 검정색 계열 찜하기 가성비 끝판왕 !! YF 쏘나타 Y20 프라임 고급형 10/05식 136,187 km 가솔린 서울 430 만원 회색 계열 모바일 우대 찜하기 YF 쏘나타 Y20 럭셔리 12/01식 98,009 km 가솔린 경기 420 만원 찜하기 YF 쏘나타 LPI 럭셔리 12/06식 143,280 km LPG(일반인 구입) 대전 390 만원 찜하기 YF 쏘나타 Y20 프라임 고급형 10/05식 136,187 km 가솔린 서울 430 만원"
"프리미엄 찜하기 무사고 / 타이어 앞,뒤 교체완 / 하체잡소리 없음 / 옵션굿 YF 쏘나타 LPI 프리미어(장애인용)",09/10식(10년형),98824,가솔린,서울,429,https://fem.encar.com/cars/detail/40477859?advClickPosition=mweb_mopre_g1_t0&listAdvType=mpremium&type=detail&view_type=checked | https://fem.encar.com/cars/detail/40903390?advClickPosition=mweb_mopre_g2_t0&listAdvType=mpremium&type=detail&view_type=checked | https://fem.encar.com/cars/detail/39486507?advClickPosition=mweb_mopre_g3_t0&listAdvType=mpremium&type=detail&view_type=normal | https://fem.encar.com/cars/detail/41054615?advClickPosition=mweb_mopre_g4_t0&listAdvType=mpremium&type=detail&view_type=checked | https://fem.encar.com/cars/detail/41509017?advClickPosition=mweb_mopre_g5_t0&listAdvType=mpremium&type=detail&view_type=checked,"프리미엄 찜하기 무사고 / 타이어 앞,뒤 교체완 / 하체잡소리 없음 / 옵션굿 YF 쏘나타 LPI 프리미어(장애인용) 09/10식(10년형) 98,824 km LPG(일반인 구입) 경기 429 만원 검정색 계열 찜하기 무사고/파노라마썬루프/올인원네비장착/무보증 전액 할부가능 YF 쏘나타 LPI 프리미어(장애인용) 10/01식 180,575 km LPG(일반인 구입) 경기 330 만원 검정색 계열 찜하기 엔카에서 직접 촬영한 100% 실매물입니다 YF 쏘나타 LPI 탑 10/11식(11년형) 158,915 km LPG(일반인 구입) 경기 250 만원 검정색 계열 찜하기 무사고/짧은주행거리/7일시승후구입여부결정가능 YF 쏘나타 CVVL 럭셔리 12/04식 105,294 km 가솔린 인천 430 만원 검정색 계열 찜하기 *[급매][방송출연우수딜러][가성비극강][차량상태최상급]* YF 쏘나타 Y20 프라임 블랙 10/10식(11년형) 113,663 km 가솔린 서울 399 만원 검정색 계열 찜하기 엔카 실촬영 YF 쏘나타 Y20 프라임 10/09식(11년형) 117,226 km 가솔린 경기 330 만원 검정색 계열 찜하기 가성비 끝판왕 !! YF 쏘나타 Y20 프라임 고급형 10/05식 136,187 km 가솔린 서울 430 만원 회색 계열"
"찜하기 무사고 / 타이어 앞,뒤 교체완 / 하체잡소리 없음 / 옵션굿 YF 쏘나타 LPI 프리미어(장애인용)",09/10식(10년형),98824,LPG,경기,429,https://fem.encar.com/cars/detail/40477859?advClickPosition=mweb_mopre_g1_t0&listAdvType=mpremium&type=detail&view_type=checked,"찜하기 무사고 / 타이어 앞,뒤 교체완 / 하체잡소리 없음 / 옵션굿 YF 쏘나타 LPI 프리미어(장애인용) 09/10식(10년형) 98,824 km LPG(일반인 구입) 경기 429 만원 검정색 계열"
YF 쏘나타 LPI 프리미어(장애인용),09/10식(10년형),98824,LPG,경기,429,,"YF 쏘나타 LPI 프리미어(장애인용) 09/10식(10년형) 98,824 km LPG(일반인 구입) 경기 429 만원 검정색 계열"
찜하기 무사고/파노라마썬루프/올인원네비장착/무보증 전액 할부가능 YF 쏘나타 LPI 프리미어(장애인용),10/01식,180575,LPG,경기,330,https://fem.encar.com/cars/detail/40903390?advClickPosition=mweb_mopre_g2_t0&listAdvType=mpremium&type=detail&view_type=checked,"찜하기 무사고/파노라마썬루프/올인원네비장착/무보증 전액 할부가능 YF 쏘나타 LPI 프리미어(장애인용) 10/01식 180,575 km LPG(일반인 구입) 경기 330 만원 검정색 계열"
YF 쏘나타 LPI 프리미어(장애인용),10/01식,180575,LPG,경기,330,,"YF 쏘나타 LPI 프리미어(장애인용) 10/01식 180,575 km LPG(일반인 구입) 경기 330 만원 검정색 계열"
찜하기 엔카에서 직접 촬영한 100% 실매물입니다 YF 쏘나타 LPI 탑,10/11식(11년형),158915,LPG,경기,250,https://fem.encar.com/cars/detail/39486507?advClickPosition=mweb_mopre_g3_t0&listAdvType=mpremium&type=detail&view_type=normal,"찜하기 엔카에서 직접 촬영한 100% 실매물입니다 YF 쏘나타 LPI 탑 10/11식(11년형) 158,915 km LPG(일반인 구입) 경기 250 만원 검정색 계열"
YF 쏘나타 LPI 탑,10/11식(11년형),158915,LPG,경기,250,,"YF 쏘나타 LPI 탑 10/11식(11년형) 158,915 km LPG(일반인 구입) 경기 250 만원 검정색 계열"
찜하기 무사고/짧은주행거리/7일시승후구입여부결정가능 YF 쏘나타 CVVL 럭셔리,12/04식,105294,가솔린,인천,430,https://fem.encar.com/cars/detail/41054615?advClickPosition=mweb_mopre_g4_t0&listAdvType=mpremium&type=detail&view_type=checked,"찜하기 무사고/짧은주행거리/7일시승후구입여부결정가능 YF 쏘나타 CVVL 럭셔리 12/04식 105,294 km 가솔린 인천 430 만원 검정색 계열"
